WinnerName,WinnerAge,winner_Height,winner_Weight,winner_Reach,winner_Stance,winner_DOB,WinningDate,title_bout
Khabib Nurmagomedov,29.0,"5' 10""",155 lbs.,"70""",Orthodox,"Sep 20, 1988",2017-12-30,False
Dan Hooker,27.0,"6' 0""",155 lbs.,"75""",Switch,"Feb 13, 1990",2017-12-30,False
Carla Esparza,30.0,"5' 1""",115 lbs.,"63""",,"Oct 10, 1987",2017-12-30,False
Neil Magny,30.0,"6' 3""",170 lbs.,"80""",Orthodox,"Aug 03, 1987",2017-12-30,False
Myles Jury,29.0,"5' 10""",145 lbs.,"73""",Orthodox,"Oct 31, 1988",2017-12-30,False
Matheus Nicolau,24.0,"5' 6""",125 lbs.,"66""",,"Jan 06, 1993",2017-12-30,False
Rafael Dos Anjos,33.0,"5' 8""",170 lbs.,"70""",Southpaw,"Oct 26, 1984",2017-12-16,False
Josh Emmett,32.0,"5' 6""",145 lbs.,"70""",Orthodox,"Mar 04, 1985",2017-12-16,False
Santiago Ponzinibbio,31.0,"6' 0""",170 lbs.,"73""",Orthodox,"Sep 26, 1986",2017-12-16,False
Glover Teixeira,38.0,"6' 2""",205 lbs.,"76""",Orthodox,"Oct 28, 1979",2017-12-16,False
Jan Blachowicz,34.0,"6' 2""",205 lbs.,"78""",Orthodox,"Feb 24, 1983",2017-12-16,False
Chad Laprise,31.0,"5' 10""",170 lbs.,"71""",Orthodox,"Jul 23, 1986",2017-12-16,False
Nordine Taleb,36.0,"6' 1""",170 lbs.,"74""",Orthodox,"Jun 10, 1981",2017-12-16,False
John Makdessi,32.0,"5' 8""",155 lbs.,"68""",Orthodox,"May 03, 1985",2017-12-16,False
Alessio Di Chirico,28.0,"6' 0""",185 lbs.,"74""",Orthodox,"Dec 12, 1989",2017-12-16,False
Jordan Mein,28.0,"6' 0""",170 lbs.,"73""",Orthodox,"Oct 10, 1989",2017-12-16,False
Brian Ortega,26.0,"5' 8""",145 lbs.,"69""",Switch,"Feb 21, 1991",2017-12-09,False
Gabriel Benitez,29.0,"5' 8""",145 lbs.,"71""",Southpaw,"Jun 15, 1988",2017-12-09,False
Marlon Moraes,29.0,"5' 6""",135 lbs.,"67""",Orthodox,"Apr 26, 1988",2017-12-09,False
Scott Holtzman,34.0,"5' 9""",155 lbs.,"69""",Orthodox,"Sep 30, 1983",2017-12-09,False
Alexis Davis,33.0,"5' 6""",125 lbs.,"68""",Orthodox,"Oct 04, 1984",2017-12-09,False
Andre Soukhamthath,29.0,"5' 9""",135 lbs.,"70""",Orthodox,"Oct 23, 1988",2017-12-09,False
Alejandro Perez,28.0,"5' 6""",135 lbs.,"67""",Orthodox,"Sep 02, 1989",2017-12-09,False
Davi Ramos,31.0,"5' 6""",155 lbs.,"70""",Orthodox,"Nov 05, 1986",2017-12-09,False
Trevin Giles,25.0,"6' 0""",185 lbs.,"74""",Orthodox,"Aug 06, 1992",2017-12-09,False
Max Holloway,25.0,"5' 11""",155 lbs.,"69""",Orthodox,"Dec 04, 1991",2017-12-02,True
Francis Ngannou,31.0,"6' 4""",250 lbs.,"83""",Orthodox,"Sep 05, 1986",2017-12-02,False
Henry Cejudo,30.0,"5' 4""",135 lbs.,"64""",Orthodox,"Feb 09, 1987",2017-12-02,False
Eddie Alvarez,33.0,"5' 9""",155 lbs.,"69""",Orthodox,"Jan 11, 1984",2017-12-02,False
Tecia Torres,28.0,"5' 1""",115 lbs.,"60""",Orthodox,"Aug 16, 1989",2017-12-02,False
Paul Felder,33.0,"5' 11""",155 lbs.,"70""",Orthodox,"Apr 25, 1984",2017-12-02,False
Yancy Medeiros,30.0,"5' 10""",155 lbs.,"75""",Orthodox,"Sep 07, 1987",2017-12-02,False
David Teymur,28.0,"5' 9""",155 lbs.,"73""",Southpaw,"May 01, 1989",2017-12-02,False
Felice Herrig,33.0,"5' 4""",115 lbs.,"65""",Orthodox,"Sep 18, 1984",2017-12-02,False
Amanda Cooper,26.0,"5' 3""",115 lbs.,"64""",Switch,"Oct 22, 1991",2017-12-02,False
Abdul Razak Alhassan,32.0,"5' 10""",170 lbs.,"73""",Orthodox,"Aug 11, 1985",2017-12-02,False
Gerald Meerschaert,29.0,"6' 1""",185 lbs.,"77""",Southpaw,"Dec 18, 1987",2017-12-01,False
Brett Johns,25.0,"5' 7""",135 lbs.,"71""",Orthodox,"Feb 21, 1992",2017-12-01,False
Ryan Janes,36.0,"6' 3""",185 lbs.,"76""",Orthodox,"Aug 22, 1981",2017-12-01,False
Kelvin Gastelum,26.0,"5' 9""",185 lbs.,"71""",Southpaw,"Oct 24, 1991",2017-11-25,False
Li Jingliang,29.0,"6' 0""",170 lbs.,"71""",Orthodox,"Mar 20, 1988",2017-11-25,False
Shamil Abdurakhimov,36.0,"6' 3""",235 lbs.,"76""",Orthodox,"Sep 02, 1981",2017-11-25,False
Fabricio Werdum,40.0,"6' 4""",231 lbs.,"77""",Orthodox,"Jul 30, 1977",2017-11-18,False
Belal Muhammad,29.0,"5' 11""",170 lbs.,"72""",Orthodox,"Jul 09, 1988",2017-11-18,False
Jake Matthews,23.0,"5' 11""",170 lbs.,"73""",Orthodox,"Aug 19, 1994",2017-11-18,False
Elias Theodorou,29.0,"6' 1""",185 lbs.,"75""",Orthodox,"May 31, 1988",2017-11-18,False
Ryan Benoit,28.0,"5' 5""",125 lbs.,"68""",Orthodox,"Aug 25, 1989",2017-11-18,False
Nik Lentz,33.0,"5' 8""",155 lbs.,"68""",Orthodox,"Aug 13, 1984",2017-11-18,False
Eric Shelton,26.0,"5' 6""",125 lbs.,"68""",Orthodox,"Feb 02, 1991",2017-11-18,False
Dustin Poirier,28.0,"5' 9""",155 lbs.,"72""",Southpaw,"Jan 19, 1989",2017-11-11,False
Matt Brown,36.0,"6' 0""",170 lbs.,"75""",Orthodox,"Jan 10, 1981",2017-11-11,False
Andrei Arlovski,38.0,"6' 3""",240 lbs.,"77""",Orthodox,"Feb 04, 1979",2017-11-11,False
Cezar Ferreira,32.0,"6' 1""",185 lbs.,"78""",Southpaw,"Feb 15, 1985",2017-11-11,False
Raphael Assuncao,35.0,"5' 5""",135 lbs.,"66""",Orthodox,"Jul 19, 1982",2017-11-11,False
Clay Guida,35.0,"5' 7""",155 lbs.,"70""",Orthodox,"Dec 08, 1981",2017-11-11,False
Marlon Moraes,29.0,"5' 6""",135 lbs.,"67""",Orthodox,"Apr 26, 1988",2017-11-11,False
Tatiana Suarez,26.0,"5' 5""",115 lbs.,"66""",,"Dec 19, 1990",2017-11-11,False
Sage Northcutt,21.0,"6' 0""",170 lbs.,"71""",Orthodox,"Mar 01, 1996",2017-11-11,False
Nina Ansaroff,31.0,"5' 5""",115 lbs.,"64""",Orthodox,"Dec 03, 1985",2017-11-11,False
Sean Strickland,26.0,"6' 1""",170 lbs.,"76""",Orthodox,"Feb 27, 1991",2017-11-11,False
Jake Collier,29.0,"6' 3""",205 lbs.,"78""",Orthodox,"Oct 25, 1988",2017-11-11,False
Georges St-Pierre,36.0,"5' 11""",185 lbs.,"76""",Orthodox,"May 19, 1981",2017-11-04,True
TJ Dillashaw,31.0,"5' 6""",125 lbs.,"67""",Orthodox,"Feb 07, 1986",2017-11-04,True
Rose Namajunas,25.0,"5' 5""",115 lbs.,"65""",Orthodox,"Jun 29, 1992",2017-11-04,True
Stephen Thompson,34.0,"6' 0""",170 lbs.,"75""",Orthodox,"Feb 11, 1983",2017-11-04,False
Paulo Costa,26.0,"6' 1""",185 lbs.,"72""",,"Apr 21, 1991",2017-11-04,False
James Vick,30.0,"6' 3""",155 lbs.,"76""",Orthodox,"Feb 23, 1987",2017-11-04,False
Mark Godbeer,33.0,"6' 4""",240 lbs.,"77""",Orthodox,"Nov 22, 1983",2017-11-04,False
Ovince Saint Preux,34.0,"6' 3""",205 lbs.,"80""",Southpaw,"Apr 08, 1983",2017-11-04,False
Randy Brown,27.0,"6' 3""",170 lbs.,"78""",Orthodox,"Jul 08, 1990",2017-11-04,False
Curtis Blaydes,26.0,"6' 4""",265 lbs.,"80""",Orthodox,"Feb 18, 1991",2017-11-04,False
Ricardo Ramos,22.0,"5' 9""",135 lbs.,"72""",Orthodox,"Aug 01, 1995",2017-11-04,False
Derek Brunson,33.0,"6' 1""",185 lbs.,"77""",Southpaw,"Jan 04, 1984",2017-10-28,False
Colby Covington,29.0,"5' 11""",170 lbs.,"72""",Orthodox,"Feb 22, 1988",2017-10-28,False
Pedro Munhoz,31.0,"5' 6""",135 lbs.,"65""",Orthodox,"Sep 07, 1986",2017-10-28,False
Francisco Trinaldo,39.0,"5' 9""",155 lbs.,"70""",Southpaw,"Aug 24, 1978",2017-10-28,False
Thiago Santos,33.0,"6' 2""",205 lbs.,"76""",Orthodox,"Jan 07, 1984",2017-10-28,False
John Lineker,27.0,"5' 3""",135 lbs.,"67""",Orthodox,"Jun 12, 1990",2017-10-28,False
Vicente Luque,25.0,"5' 11""",170 lbs.,"75""",Orthodox,"Nov 27, 1991",2017-10-28,False
Antonio Carlos Junior,27.0,"6' 2""",185 lbs.,"79""",Orthodox,"Mar 16, 1990",2017-10-28,False
Jared Gordon,29.0,"5' 9""",155 lbs.,"68""",Orthodox,"Sep 06, 1988",2017-10-28,False
Elizeu Zaleski dos Santos,30.0,"5' 11""",170 lbs.,"73""",Orthodox,"Dec 11, 1986",2017-10-28,False
Darren Till,24.0,"6' 0""",170 lbs.,"74""",Southpaw,"Dec 24, 1992",2017-10-21,False
Jan Blachowicz,34.0,"6' 2""",205 lbs.,"78""",Orthodox,"Feb 24, 1983",2017-10-21,False
Brian Kelleher,31.0,"5' 6""",135 lbs.,"66""",Switch,"Aug 19, 1986",2017-10-21,False
Andre Fili,27.0,"5' 11""",145 lbs.,"74""",Orthodox,"Jun 25, 1990",2017-10-21,False
Josh Emmett,32.0,"5' 6""",145 lbs.,"70""",Orthodox,"Mar 04, 1985",2017-10-21,False
Tony Ferguson,33.0,"5' 11""",155 lbs.,"76""",Orthodox,"Feb 12, 1984",2017-10-07,True
Demetrious Johnson,31.0,"5' 3""",125 lbs.,"66""",Orthodox,"Aug 13, 1986",2017-10-07,True
Fabricio Werdum,40.0,"6' 4""",231 lbs.,"77""",Orthodox,"Jul 30, 1977",2017-10-07,False
Cody Stamann,27.0,"5' 6""",135 lbs.,"64""",Orthodox,"Nov 09, 1989",2017-10-07,False
Matt Schnell,27.0,"5' 8""",135 lbs.,"70""",Orthodox,"Jan 15, 1990",2017-10-07,False
John Moraga,33.0,"5' 6""",125 lbs.,"66""",Orthodox,"Mar 20, 1984",2017-10-07,False
Brad Tavares,29.0,"6' 1""",185 lbs.,"74""",Orthodox,"Dec 21, 1987",2017-10-07,False
Ovince Saint Preux,34.0,"6' 3""",205 lbs.,"80""",Southpaw,"Apr 08, 1983",2017-09-22,False
Jessica Andrade,25.0,"5' 1""",115 lbs.,"62""",Orthodox,"Sep 25, 1991",2017-09-22,False
Dong Hyun Ma,29.0,"5' 11""",155 lbs.,"70""",Orthodox,"Sep 09, 1988",2017-09-22,False
Teruto Ishihara,26.0,"5' 7""",135 lbs.,"69""",Southpaw,"Jul 23, 1991",2017-09-22,False
Jussier Formiga,32.0,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 14, 1985",2017-09-22,False
Keita Nakamura,33.0,"5' 11""",170 lbs.,"73""",Southpaw,"May 22, 1984",2017-09-22,False
Shinsho Anzai,31.0,"5' 7""",170 lbs.,"70""",Orthodox,"Dec 01, 1985",2017-09-22,False
Luke Rockhold,32.0,"6' 3""",185 lbs.,"77""",Southpaw,"Oct 17, 1984",2017-09-16,False
Anthony Smith,29.0,"6' 4""",205 lbs.,"76""",Orthodox,"Jul 26, 1988",2017-09-16,False
Gregor Gillespie,30.0,"5' 7""",155 lbs.,"71""",Orthodox,"Nov 13, 1986",2017-09-16,False
Kamaru Usman,30.0,"6' 0""",170 lbs.,"76""",Switch,"May 11, 1987",2017-09-16,False
Olivier Aubin-Mercier,28.0,"5' 9""",155 lbs.,"70""",Southpaw,"Feb 23, 1989",2017-09-16,False
Daniel Spitz,27.0,"6' 7""",245 lbs.,"82""",Orthodox,"Jul 31, 1990",2017-09-16,False
Uriah Hall,33.0,"6' 0""",185 lbs.,"79""",Orthodox,"Jul 31, 1984",2017-09-16,False
Gilbert Burns,31.0,"5' 10""",155 lbs.,"71""",Orthodox,"Jul 20, 1986",2017-09-16,False
Amanda Nunes,29.0,"5' 8""",145 lbs.,"69""",Orthodox,"May 30, 1988",2017-09-09,True
Rafael Dos Anjos,32.0,"5' 8""",170 lbs.,"70""",Southpaw,"Oct 26, 1984",2017-09-09,False
Henry Cejudo,30.0,"5' 4""",135 lbs.,"64""",Orthodox,"Feb 09, 1987",2017-09-09,False
Ilir Latifi,34.0,"5' 10""",205 lbs.,"73""",Orthodox,"Jul 28, 1983",2017-09-09,False
Jeremy Stephens,31.0,"5' 8""",145 lbs.,"71""",Orthodox,"May 25, 1986",2017-09-09,False
Ketlen Vieira,26.0,"5' 8""",135 lbs.,"68""",Orthodox,"Aug 26, 1991",2017-09-09,False
Sarah Moras,29.0,"5' 7""",135 lbs.,"67""",,"Apr 30, 1988",2017-09-09,False
Rick Glenn,28.0,"6' 0""",145 lbs.,"70""",Southpaw,"Apr 12, 1989",2017-09-09,False
Alex White,28.0,"6' 0""",155 lbs.,"71""",Southpaw,"Oct 22, 1988",2017-09-09,False
Kajan Johnson,33.0,"5' 11""",155 lbs.,"75""",Orthodox,"Apr 21, 1984",2017-09-09,False
Alexander Volkov,28.0,"6' 7""",250 lbs.,"80""",Orthodox,"Oct 24, 1988",2017-09-02,False
Leon Edwards,26.0,"6' 0""",170 lbs.,"74""",Southpaw,"Aug 25, 1991",2017-09-02,False
Darren Till,24.0,"6' 0""",170 lbs.,"74""",Southpaw,"Dec 24, 1992",2017-09-02,False
Mairbek Taisumov,29.0,"5' 9""",155 lbs.,"73""",Orthodox,"Aug 08, 1988",2017-09-02,False
Rustam Khabilov,30.0,"5' 8""",155 lbs.,"73""",Orthodox,"Nov 04, 1986",2017-09-02,False
Thibault Gouti,30.0,"5' 10""",155 lbs.,"72""",Orthodox,"Feb 27, 1987",2017-09-02,False
Sergio Pettis,23.0,"5' 6""",135 lbs.,"69""",Orthodox,"Aug 18, 1993",2017-08-05,False
Alexa Grasso,23.0,"5' 5""",115 lbs.,"66""",Orthodox,"Aug 09, 1993",2017-08-05,False
Niko Price,27.0,"6' 0""",170 lbs.,"76""",Orthodox,"Sep 29, 1989",2017-08-05,False
Sam Alvey,31.0,"6' 2""",205 lbs.,"75""",Southpaw,"May 06, 1986",2017-08-05,False
Alejandro Perez,27.0,"5' 6""",135 lbs.,"67""",Orthodox,"Sep 02, 1989",2017-08-05,False
Jack Hermansson,29.0,"6' 1""",185 lbs.,"77""",Orthodox,"Jun 10, 1988",2017-08-05,False
Dustin Ortiz,28.0,"5' 5""",125 lbs.,"65""",Orthodox,"Dec 25, 1988",2017-08-05,False
Rani Yahya,32.0,"5' 6""",135 lbs.,"67""",Orthodox,"Sep 12, 1984",2017-08-05,False
Jose Quinonez,27.0,"5' 8""",135 lbs.,"69""",,"Jul 28, 1990",2017-08-05,False
Jordan Rinaldi,29.0,"5' 10""",145 lbs.,"72""",Orthodox,"Sep 25, 1987",2017-08-05,False
Tyron Woodley,35.0,"5' 9""",170 lbs.,"74""",Orthodox,"Apr 07, 1982",2017-07-29,True
Robbie Lawler,35.0,"5' 11""",170 lbs.,"74""",Southpaw,"Mar 20, 1982",2017-07-29,False
Volkan Oezdemir,27.0,"6' 2""",205 lbs.,"75""",Orthodox,"Sep 19, 1989",2017-07-29,False
Ricardo Lamas,35.0,"5' 8""",145 lbs.,"71""",Orthodox,"May 21, 1982",2017-07-29,False
Aljamain Sterling,27.0,"5' 7""",135 lbs.,"71""",Orthodox,"Jul 31, 1989",2017-07-29,False
Brian Ortega,26.0,"5' 8""",145 lbs.,"69""",Switch,"Feb 21, 1991",2017-07-29,False
Alexandra Albu,27.0,"5' 2""",115 lbs.,"63""",Orthodox,"Jul 14, 1990",2017-07-29,False
Drew Dober,28.0,"5' 8""",155 lbs.,"70""",Southpaw,"Oct 19, 1988",2017-07-29,False
Chris Weidman,33.0,"6' 2""",185 lbs.,"78""",Orthodox,"Jun 17, 1984",2017-07-22,False
Darren Elkins,33.0,"5' 10""",145 lbs.,"71""",Orthodox,"May 16, 1984",2017-07-22,False
Patrick Cummins,36.0,"6' 2""",205 lbs.,"76""",Orthodox,"Nov 16, 1980",2017-07-22,False
Jimmie Rivera,28.0,"5' 4""",135 lbs.,"68""",Orthodox,"Jun 29, 1989",2017-07-22,False
Elizeu Zaleski dos Santos,30.0,"5' 11""",170 lbs.,"73""",Orthodox,"Dec 11, 1986",2017-07-22,False
Alex Oliveira,29.0,"5' 11""",170 lbs.,"76""",Orthodox,"Feb 21, 1988",2017-07-22,False
Chase Sherman,27.0,"6' 4""",250 lbs.,"78""",Orthodox,"Nov 16, 1989",2017-07-22,False
Jeremy Kennedy,24.0,"5' 11""",145 lbs.,"71""",Orthodox,"Sep 16, 1992",2017-07-22,False
Marlon Vera,24.0,"5' 8""",135 lbs.,"70""",Switch,"Dec 02, 1992",2017-07-22,False
Shane Burgos,26.0,"5' 11""",145 lbs.,"75""",Orthodox,"Mar 19, 1991",2017-07-22,False
Chris Wade,29.0,"5' 10""",155 lbs.,"70""",Orthodox,"Sep 30, 1987",2017-07-22,False
Santiago Ponzinibbio,30.0,"6' 0""",170 lbs.,"73""",Orthodox,"Sep 26, 1986",2017-07-16,False
Cynthia Calvillo,30.0,"5' 4""",115 lbs.,"64""",Orthodox,"Jul 13, 1987",2017-07-16,False
Paul Felder,33.0,"5' 11""",155 lbs.,"70""",Orthodox,"Apr 25, 1984",2017-07-16,False
Jack Marshman,27.0,"6' 0""",185 lbs.,"73""",Orthodox,"Dec 19, 1989",2017-07-16,False
Khalil Rountree Jr.,27.0,"6' 1""",205 lbs.,"76""",Southpaw,"Feb 26, 1990",2017-07-16,False
Danny Roberts,30.0,"6' 1""",170 lbs.,"74""",Southpaw,"Jul 14, 1987",2017-07-16,False
Alexandre Pantoja,27.0,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 16, 1990",2017-07-16,False
Brett Johns,25.0,"5' 7""",135 lbs.,"71""",Orthodox,"Feb 21, 1992",2017-07-16,False
Robert Whittaker,26.0,"6' 0""",185 lbs.,"73""",Orthodox,"Dec 20, 1990",2017-07-08,True
Alistair Overeem,37.0,"6' 4""",265 lbs.,"80""",Orthodox,"May 17, 1980",2017-07-08,False
Curtis Blaydes,26.0,"6' 4""",265 lbs.,"80""",Orthodox,"Feb 18, 1991",2017-07-08,False
Anthony Pettis,30.0,"5' 10""",170 lbs.,"72""",Orthodox,"Jan 27, 1987",2017-07-08,False
Rob Font,30.0,"5' 8""",135 lbs.,"71""",Orthodox,"Jun 25, 1987",2017-07-08,False
Aleksei Oleinik,40.0,"6' 2""",240 lbs.,"80""",Orthodox,"Jun 20, 1977",2017-07-08,False
Chad Laprise,30.0,"5' 10""",170 lbs.,"71""",Orthodox,"Jul 23, 1986",2017-07-08,False
Thiago Santos,33.0,"6' 2""",205 lbs.,"76""",Orthodox,"Jan 07, 1984",2017-07-08,False
Belal Muhammad,28.0,"5' 11""",170 lbs.,"72""",Orthodox,"Jul 09, 1988",2017-07-08,False
Jesse Taylor,34.0,"6' 0""",170 lbs.,"73""",Orthodox,"Jan 02, 1983",2017-07-07,True
Brad Tavares,29.0,"6' 1""",185 lbs.,"74""",Orthodox,"Dec 21, 1987",2017-07-07,False
Jordan Johnson,28.0,"6' 2""",205 lbs.,"79""",Orthodox,"Nov 18, 1988",2017-07-07,False
Angela Hill,32.0,"5' 3""",115 lbs.,"64""",Orthodox,"Jan 12, 1985",2017-07-07,False
CB Dollaway,33.0,"6' 2""",185 lbs.,"76""",Orthodox,"Aug 10, 1983",2017-07-07,False
Tecia Torres,27.0,"5' 1""",115 lbs.,"60""",Orthodox,"Aug 16, 1989",2017-07-07,False
Gray Maynard,38.0,"5' 9""",155 lbs.,"70""",Orthodox,"May 09, 1979",2017-07-07,False
Kevin Lee,24.0,"5' 9""",170 lbs.,"77""",Orthodox,"Sep 04, 1992",2017-06-25,False
Tim Boetsch,36.0,"6' 0""",185 lbs.,"74""",Orthodox,"Jan 28, 1981",2017-06-25,False
Felice Herrig,32.0,"5' 4""",115 lbs.,"65""",Orthodox,"Sep 18, 1984",2017-06-25,False
Tim Means,33.0,"6' 2""",170 lbs.,"75""",Orthodox,"Feb 20, 1984",2017-06-25,False
Dennis Siver,38.0,"5' 6""",145 lbs.,"70""",Orthodox,"Jan 13, 1979",2017-06-25,False
Clay Guida,35.0,"5' 7""",155 lbs.,"70""",Orthodox,"Dec 08, 1981",2017-06-25,False
Marvin Vettori,23.0,"6' 0""",185 lbs.,"74""",Southpaw,"Sep 20, 1993",2017-06-25,False
Darrell Horcher,29.0,"5' 10""",155 lbs.,"70""",Southpaw,"Jul 28, 1987",2017-06-25,False
Anthony Rocco Martin,27.0,"6' 0""",170 lbs.,"73""",Orthodox,"Dec 11, 1989",2017-06-25,False
Jeremy Kimball,26.0,"6' 0""",205 lbs.,"72""",Switch,"Jan 03, 1991",2017-06-25,False
Holly Holm,35.0,"5' 8""",145 lbs.,"69""",Southpaw,"Oct 17, 1981",2017-06-17,False
Marcin Tybura,31.0,"6' 3""",249 lbs.,"78""",Orthodox,"Nov 09, 1985",2017-06-17,False
Colby Covington,29.0,"5' 11""",170 lbs.,"72""",Orthodox,"Feb 22, 1988",2017-06-17,False
Rafael Dos Anjos,32.0,"5' 8""",170 lbs.,"70""",Southpaw,"Oct 26, 1984",2017-06-17,False
Jon Tuck,32.0,"5' 11""",155 lbs.,"73""",Orthodox,"Aug 28, 1984",2017-06-17,False
Walt Harris,34.0,"6' 5""",250 lbs.,"77""",Southpaw,"Jun 10, 1983",2017-06-17,False
Ulka Sasaki,27.0,"5' 10""",125 lbs.,"71""",Southpaw,"Oct 07, 1989",2017-06-17,False
Russell Doane,30.0,"5' 7""",135 lbs.,"70""",Orthodox,"Aug 13, 1986",2017-06-17,False
Mark Hunt,43.0,"5' 10""",265 lbs.,"72""",Orthodox,"Mar 23, 1974",2017-06-10,False
Derek Brunson,33.0,"6' 1""",185 lbs.,"77""",Southpaw,"Jan 04, 1984",2017-06-10,False
Dan Hooker,27.0,"6' 0""",155 lbs.,"75""",Switch,"Feb 13, 1990",2017-06-10,False
Ion Cutelaba,23.0,"6' 1""",205 lbs.,"75""",Southpaw,"Dec 14, 1993",2017-06-10,False
Ben Nguyen,28.0,"5' 5""",125 lbs.,"65""",Switch,"Aug 03, 1988",2017-06-10,False
Alexander Volkanovski,28.0,"5' 6""",145 lbs.,"71""",Orthodox,"Sep 29, 1988",2017-06-10,False
Vinc Pichel,34.0,"5' 10""",155 lbs.,"72""",Orthodox,"Nov 23, 1982",2017-06-10,False
Zak Ottow,30.0,"5' 11""",170 lbs.,"72""",Orthodox,"Dec 22, 1986",2017-06-10,False
Max Holloway,25.0,"5' 11""",155 lbs.,"69""",Orthodox,"Dec 04, 1991",2017-06-03,True
Claudia Gadelha,28.0,"5' 4""",115 lbs.,"63""",Orthodox,"Dec 07, 1988",2017-06-03,False
Vitor Belfort,40.0,"6' 0""",185 lbs.,"74""",Southpaw,"Apr 01, 1977",2017-06-03,False
Paulo Costa,26.0,"6' 1""",185 lbs.,"72""",,"Apr 21, 1991",2017-06-03,False
Yancy Medeiros,29.0,"5' 10""",155 lbs.,"75""",Orthodox,"Sep 07, 1987",2017-06-03,False
Matthew Lopez,30.0,"5' 7""",135 lbs.,"69""",Southpaw,"Jan 21, 1987",2017-06-03,False
Viviane Pereira,23.0,"5' 1""",115 lbs.,"63""",Orthodox,"Aug 28, 1993",2017-06-03,False
Luan Chagas,23.0,"6' 0""",170 lbs.,"75""",Orthodox,"Jun 17, 1993",2017-06-03,False
Alexander Gustafsson,30.0,"6' 5""",205 lbs.,"79""",Orthodox,"Jan 15, 1987",2017-05-28,False
Volkan Oezdemir,27.0,"6' 2""",205 lbs.,"75""",Orthodox,"Sep 19, 1989",2017-05-28,False
Peter Sobotta,30.0,"6' 0""",170 lbs.,"75""",Southpaw,"Jan 11, 1987",2017-05-28,False
Omari Akhmedov,29.0,"6' 0""",185 lbs.,"73""",Orthodox,"Oct 12, 1987",2017-05-28,False
Jack Hermansson,28.0,"6' 1""",185 lbs.,"77""",Orthodox,"Jun 10, 1988",2017-05-28,False
Pedro Munhoz,30.0,"5' 6""",135 lbs.,"65""",Orthodox,"Sep 07, 1986",2017-05-28,False
Trevor Smith,36.0,"6' 3""",185 lbs.,"75""",Orthodox,"Jan 05, 1981",2017-05-28,False
Joaquim Silva,28.0,"5' 8""",155 lbs.,"69""",,"Feb 05, 1989",2017-05-28,False
Bojan Velickovic,28.0,"6' 0""",170 lbs.,"76""",Southpaw,"Dec 18, 1988",2017-05-28,False
Darren Till,24.0,"6' 0""",170 lbs.,"74""",Southpaw,"Dec 24, 1992",2017-05-28,False
Damir Hadzovic,30.0,"5' 9""",155 lbs.,"70""",Orthodox,"Aug 08, 1986",2017-05-28,False
Stipe Miocic,34.0,"6' 4""",240 lbs.,"80""",Orthodox,"Aug 19, 1982",2017-05-13,True
Joanna Jedrzejczyk,29.0,"5' 6""",125 lbs.,"65""",Orthodox,"Aug 18, 1987",2017-05-13,True
Demian Maia,39.0,"6' 1""",170 lbs.,"72""",Southpaw,"Nov 06, 1977",2017-05-13,False
Frankie Edgar,35.0,"5' 6""",145 lbs.,"68""",Orthodox,"Oct 16, 1981",2017-05-13,False
David Branch,35.0,"6' 1""",185 lbs.,"78""",Orthodox,"Sep 26, 1981",2017-05-13,False
Jason Knight,24.0,"5' 10""",145 lbs.,"71""",Orthodox,"Jul 14, 1992",2017-05-13,False
James Vick,30.0,"6' 3""",155 lbs.,"76""",Orthodox,"Feb 23, 1987",2017-05-13,False
Cortney Casey,30.0,"5' 7""",115 lbs.,"67""",Orthodox,"May 05, 1987",2017-05-13,False
Enrique Barzola,28.0,"5' 7""",145 lbs.,"70""",,"Apr 28, 1989",2017-05-13,False
Gadzhimurad Antigulov,30.0,"5' 11""",205 lbs.,"70""",Orthodox,"Feb 09, 1987",2017-05-13,False
Cub Swanson,33.0,"5' 8""",145 lbs.,"70""",Orthodox,"Nov 02, 1983",2017-04-22,False
Al Iaquinta,29.0,"5' 10""",155 lbs.,"70""",Orthodox,"Apr 30, 1987",2017-04-22,False
Ovince Saint Preux,34.0,"6' 3""",205 lbs.,"80""",Southpaw,"Apr 08, 1983",2017-04-22,False
John Dodson,32.0,"5' 3""",135 lbs.,"66""",Orthodox,"Sep 26, 1984",2017-04-22,False
Stevie Ray,27.0,"5' 10""",155 lbs.,"70""",Southpaw,"Mar 25, 1990",2017-04-22,False
Mike Perry,25.0,"5' 10""",170 lbs.,"71""",Orthodox,"Sep 15, 1991",2017-04-22,False
Thales Leites,35.0,"6' 1""",185 lbs.,"78""",Orthodox,"Sep 06, 1981",2017-04-22,False
Brandon Moreno,23.0,"5' 7""",125 lbs.,"70""",Orthodox,"Dec 07, 1993",2017-04-22,False
Scott Holtzman,33.0,"5' 9""",155 lbs.,"69""",Orthodox,"Sep 30, 1983",2017-04-22,False
Danielle Taylor,27.0,"5' 0""",115 lbs.,"60""",Orthodox,"Oct 25, 1989",2017-04-22,False
Bryan Barberena,27.0,"6' 0""",170 lbs.,"72""",Southpaw,"May 03, 1989",2017-04-22,False
Hector Sandoval,30.0,"5' 2""",125 lbs.,"64""",Orthodox,"Jul 19, 1986",2017-04-22,False
Demetrious Johnson,30.0,"5' 3""",125 lbs.,"66""",Orthodox,"Aug 13, 1986",2017-04-15,True
