WinnerName,WinnerAge,winner_Height,winner_Weight,winner_Reach,winner_Stance,winner_DOB,WinningDate,title_bout
Anthony Smith,29.0,"6' 4""",205 lbs.,"76""",Orthodox,"Jul 26, 1988",2018-06-09,False
Sergio Pettis,24.0,"5' 6""",135 lbs.,"69""",Orthodox,"Aug 18, 1993",2018-06-09,False
Charles Oliveira,28.0,"5' 10""",155 lbs.,"74""",Orthodox,"Oct 17, 1989",2018-06-09,False
Dan Ige,26.0,"5' 7""",145 lbs.,"71""",Orthodox,"Aug 06, 1991",2018-06-09,False
Marlon Moraes,30.0,"5' 6""",135 lbs.,"67""",Orthodox,"Apr 26, 1988",2018-06-01,False
Gregor Gillespie,31.0,"5' 7""",155 lbs.,"71""",Orthodox,"Nov 13, 1986",2018-06-01,False
Walt Harris,34.0,"6' 5""",250 lbs.,"77""",Southpaw,"Jun 10, 1983",2018-06-01,False
Ben Saunders,35.0,"6' 2""",170 lbs.,"77""",Orthodox,"Apr 13, 1983",2018-06-01,False
Julio Arce,28.0,"5' 7""",145 lbs.,"70""",Southpaw,"Oct 27, 1989",2018-06-01,False
Sam Alvey,32.0,"6' 2""",205 lbs.,"75""",Southpaw,"May 06, 1986",2018-06-01,False
David Teymur,29.0,"5' 9""",155 lbs.,"73""",Southpaw,"May 01, 1989",2018-06-01,False
Desmond Green,28.0,"5' 10""",155 lbs.,"73""",Southpaw,"Oct 11, 1989",2018-06-01,False
Darren Till,25.0,"6' 0""",170 lbs.,"74""",Southpaw,"Dec 24, 1992",2018-05-27,False
Arnold Allen,24.0,"5' 8""",145 lbs.,"70""",Southpaw,"Jan 22, 1994",2018-05-27,False
Makwan Amirkhani,29.0,"5' 10""",145 lbs.,"72""",Southpaw,"Nov 08, 1988",2018-05-27,False
Claudio Silva,35.0,"5' 11""",170 lbs.,"71""",Southpaw,"Sep 06, 1982",2018-05-27,False
Darren Stewart,27.0,"6' 0""",185 lbs.,"74""",Orthodox,"Dec 30, 1990",2018-05-27,False
Tom Breese,26.0,"6' 3""",185 lbs.,"73""",Southpaw,"Sep 26, 1991",2018-05-27,False
Lina Lansberg,36.0,"5' 7""",135 lbs.,"65""",Orthodox,"Mar 13, 1982",2018-05-27,False
Elias Theodorou,29.0,"6' 1""",185 lbs.,"75""",Orthodox,"May 31, 1988",2018-05-27,False
Kamaru Usman,31.0,"6' 0""",170 lbs.,"76""",Switch,"May 11, 1987",2018-05-19,False
Tatiana Suarez,27.0,"5' 5""",115 lbs.,"66""",,"Dec 19, 1990",2018-05-19,False
Dominick Reyes,28.0,"6' 4""",205 lbs.,"77""",Southpaw,"Dec 26, 1989",2018-05-19,False
Guido Cannetti,38.0,"5' 6""",135 lbs.,"68""",Southpaw,"Dec 19, 1979",2018-05-19,False
Vicente Luque,26.0,"5' 11""",170 lbs.,"75""",Orthodox,"Nov 27, 1991",2018-05-19,False
Michel Prazeres,36.0,"5' 6""",170 lbs.,"67""",Orthodox,"Jul 25, 1981",2018-05-19,False
Alexandre Pantoja,28.0,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 16, 1990",2018-05-19,False
Poliana Botelho,29.0,"5' 8""",115 lbs.,"67""",Orthodox,"Dec 15, 1988",2018-05-19,False
Gabriel Benitez,29.0,"5' 8""",145 lbs.,"71""",Southpaw,"Jun 15, 1988",2018-05-19,False
Enrique Barzola,29.0,"5' 7""",145 lbs.,"70""",,"Apr 28, 1989",2018-05-19,False
Frankie Saenz,37.0,"5' 6""",135 lbs.,"66""",Orthodox,"Aug 12, 1980",2018-05-19,False
Claudio Puelles,22.0,"5' 11""",155 lbs.,"72""",Southpaw,"Apr 21, 1996",2018-05-19,False
Amanda Nunes,29.0,"5' 8""",145 lbs.,"69""",Orthodox,"May 30, 1988",2018-05-12,True
Kelvin Gastelum,26.0,"5' 9""",185 lbs.,"71""",Southpaw,"Oct 24, 1991",2018-05-12,False
Mackenzie Dern,25.0,"5' 4""",115 lbs.,"63""",Orthodox,"Mar 24, 1993",2018-05-12,False
John Lineker,27.0,"5' 3""",135 lbs.,"67""",Orthodox,"Jun 12, 1990",2018-05-12,False
Lyoto Machida,39.0,"6' 1""",185 lbs.,"74""",Southpaw,"May 30, 1978",2018-05-12,False
Cezar Ferreira,33.0,"6' 1""",185 lbs.,"78""",Southpaw,"Feb 15, 1985",2018-05-12,False
Aleksei Oleinik,40.0,"6' 2""",240 lbs.,"80""",Orthodox,"Jun 20, 1977",2018-05-12,False
Davi Ramos,31.0,"5' 6""",155 lbs.,"70""",Orthodox,"Nov 05, 1986",2018-05-12,False
Elizeu Zaleski dos Santos,31.0,"5' 11""",170 lbs.,"73""",Orthodox,"Dec 11, 1986",2018-05-12,False
Warlley Alves,27.0,"5' 11""",170 lbs.,"72""",Orthodox,"Jan 04, 1991",2018-05-12,False
Jack Hermansson,29.0,"6' 1""",185 lbs.,"77""",Orthodox,"Jun 10, 1988",2018-05-12,False
Ramazan Emeev,30.0,"5' 10""",170 lbs.,"76""",Southpaw,"May 23, 1987",2018-05-12,False
Markus Perez,29.0,"6' 1""",185 lbs.,"73""",Orthodox,"Jun 22, 1988",2018-05-12,False
Kevin Lee,25.0,"5' 9""",170 lbs.,"77""",Orthodox,"Sep 04, 1992",2018-04-21,False
Frankie Edgar,36.0,"5' 6""",145 lbs.,"68""",Orthodox,"Oct 16, 1981",2018-04-21,False
Justin Willis,30.0,"6' 1""",264 lbs.,"78""",Southpaw,"Jul 19, 1987",2018-04-21,False
David Branch,36.0,"6' 1""",185 lbs.,"78""",Orthodox,"Sep 26, 1981",2018-04-21,False
Aljamain Sterling,28.0,"5' 7""",135 lbs.,"71""",Orthodox,"Jul 31, 1989",2018-04-21,False
Dan Hooker,28.0,"6' 0""",155 lbs.,"75""",Switch,"Feb 13, 1990",2018-04-21,False
Ryan LaFlare,34.0,"6' 1""",170 lbs.,"74""",Southpaw,"Oct 01, 1983",2018-04-21,False
Siyar Bahadurzada,34.0,"5' 11""",170 lbs.,"73""",Orthodox,"Apr 17, 1984",2018-04-21,False
Corey Anderson,28.0,"6' 3""",205 lbs.,"79""",Orthodox,"Sep 22, 1989",2018-04-21,False
Anthony Rocco Martin,28.0,"6' 0""",170 lbs.,"73""",Orthodox,"Dec 11, 1989",2018-04-21,False
Dustin Poirier,29.0,"5' 9""",155 lbs.,"72""",Southpaw,"Jan 19, 1989",2018-04-14,False
Alex Oliveira,30.0,"5' 11""",170 lbs.,"76""",Orthodox,"Feb 21, 1988",2018-04-14,False
Israel Adesanya,28.0,"6' 4""",185 lbs.,"80""",Switch,"Jul 22, 1989",2018-04-14,False
Michelle Waterson,32.0,"5' 3""",115 lbs.,"62""",Orthodox,"Jan 06, 1986",2018-04-14,False
Antonio Carlos Junior,28.0,"6' 2""",185 lbs.,"79""",Orthodox,"Mar 16, 1990",2018-04-14,False
John Moraga,34.0,"5' 6""",125 lbs.,"66""",Orthodox,"Mar 20, 1984",2018-04-14,False
